GENE,Hbb-y,Rpl14,Rpl18a,Rpl32,Rplp0,Rps11,Rps15a,Rps19,Rps24,Rps27,Rps9,mt-Cytb,mt-Nd1,mt-Nd4
Hbb-y,1.0,-0.17332105639800013,-0.1860310663810725,-0.18583342076277082,-0.1412012959159424,-0.1878603344423746,-0.15382775104342689,-0.18951651195529468,-0.17531513647383426,-0.20006195582361477,-0.18618130055857143,-0.1811298659653631,-0.17419112394901942,-0.17014138718404764
Rpl14,-0.17332105639800013,1.0,0.7641125744096858,0.7800004995802943,0.769570814482432,0.746230722700678,0.729522610871356,0.7454556878053468,0.7211144578677317,0.7092133410585584,0.7862188155373704,0.5955979103771615,0.5662303281735925,0.48915289845477716
Rpl18a,-0.1860310663810725,0.7641125744096858,1.0,0.7766438694159346,0.7536779071621275,0.7394079561984868,0.7400936275012526,0.7502046792867137,0.7302700468483425,0.7347759170921578,0.768184987090735,0.6026488507992047,0.5803646856572616,0.5015115258784723
Rpl32,-0.18583342076277082,0.7800004995802943,0.7766438694159346,1.0,0.7758723240635799,0.7467122693821284,0.7447286804057013,0.7499660216706885,0.7232436167430093,0.7232256136060407,0.7802936082521795,0.5893022563363046,0.5624208007313282,0.48982373022664893
Rplp0,-0.1412012959159424,0.769570814482432,0.7536779071621275,0.7758723240635799,1.0,0.7314535994187829,0.718484998970726,0.7264944355401108,0.7044353453108659,0.6926967281523239,0.7585862488970277,0.5981293178053886,0.5547508788855136,0.4750170206056691
Rps11,-0.1878603344423746,0.746230722700678,0.7394079561984868,0.7467122693821284,0.7314535994187829,1.0,0.7039775242667822,0.7123662282082719,0.6825990761606475,0.6713895576882827,0.7377727367046252,0.5700966302846708,0.5659337611961792,0.485094752384101
Rps15a,-0.15382775104342689,0.729522610871356,0.7400936275012526,0.7447286804057013,0.718484998970726,0.7039775242667822,1.0,0.7137680742401075,0.6733831722056971,0.6885923251658367,0.7261507872355358,0.5592801436076851,0.5348156305027594,0.47422039664079585
Rps19,-0.18951651195529468,0.7454556878053468,0.7502046792867137,0.7499660216706885,0.7264944355401108,0.7123662282082719,0.7137680742401075,1.0,0.6953538659700088,0.6955648220825251,0.7471513926943003,0.5935711235792194,0.5893623331131389,0.508166862416096
Rps24,-0.17531513647383426,0.7211144578677317,0.7302700468483425,0.7232436167430093,0.7044353453108659,0.6825990761606475,0.6733831722056971,0.6953538659700088,1.0,0.6805238423634784,0.7235599199305052,0.5716047966989857,0.5559384506310622,0.4683959817804023
Rps27,-0.20006195582361477,0.7092133410585584,0.7347759170921578,0.7232256136060407,0.6926967281523239,0.6713895576882827,0.6885923251658367,0.6955648220825251,0.6805238423634784,1.0,0.705823721025302,0.5885674358046187,0.5510790844712701,0.4845958060564246
Rps9,-0.18618130055857143,0.7862188155373704,0.768184987090735,0.7802936082521795,0.7585862488970277,0.7377727367046252,0.7261507872355358,0.7471513926943003,0.7235599199305052,0.705823721025302,1.0,0.6016745727994475,0.5747917618454553,0.4905179067120238
mt-Cytb,-0.1811298659653631,0.5955979103771615,0.6026488507992047,0.5893022563363046,0.5981293178053886,0.5700966302846708,0.5592801436076851,0.5935711235792194,0.5716047966989857,0.5885674358046187,0.6016745727994475,1.0,0.716115872031933,0.7166799200436548
mt-Nd1,-0.17419112394901942,0.5662303281735925,0.5803646856572616,0.5624208007313282,0.5547508788855136,0.5659337611961792,0.5348156305027594,0.5893623331131389,0.5559384506310622,0.5510790844712701,0.5747917618454553,0.716115872031933,1.0,0.662171305653533
mt-Nd4,-0.17014138718404764,0.48915289845477716,0.5015115258784723,0.48982373022664893,0.4750170206056691,0.485094752384101,0.47422039664079585,0.508166862416096,0.4683959817804023,0.4845958060564246,0.4905179067120238,0.7166799200436548,0.662171305653533,1.0
